131072	100729
131072	38572
131072	67762
131072	54755
163841	26886
163841	127560
131077	150890
131077	140254
131077	16755
131077	6966
131077	138292
131077	149732
131077	23246
131077	127027
131077	149874
7	149547
7	112885
7	62994
163847	100039
163847	111634
163847	139406
163847	167141
163847	140951
163847	91040
163847	70571
163847	86637
163847	132596
98317	103764
98317	141707
98317	116941
98317	137321
98317	38613
98317	121246
98317	102603
98317	94746
98317	153129
98317	79432
98317	90826
98317	154551
98317	57698
98317	146162
98317	56449
98317	102208
98317	78381
98317	63843
98317	3143
98317	147784
98317	147170
98317	159902
98317	100860
98317	5553
98317	146377
98317	156234
98317	113989
98317	99782
98317	15585
98317	123110
98317	165574
98317	124090
32783	75077
32783	82861
32782	66010
32782	43211
98321	28128
98321	148248
98321	156809
98321	57059
98321	161293
98321	56035
98321	37039
98321	35727
98321	61808
98321	19811
98321	61092
98321	149329
98321	60494
98321	104128
98321	36903
98321	15030
98321	58531
98321	143473
98321	165151
98321	56174
98321	34177
98321	19698
98321	90861
98321	29704
98321	164517
98321	141623
98321	158227
98321	122083
98321	61188
98321	156698
98321	33302
98321	13577
98321	140445
98321	151953
98321	50530
98321	38566
98321	67586
98316	135250
98316	130828
98316	165230
131091	89020
131091	167657
131091	163775
131092	75077
131092	51508
131092	128864
131092	9334
131095	164752
32793	137899
32793	81934
32793	46014
32793	113989
32793	123110
32793	135082
163866	113417
131100	26453
131102	70774
131102	144847
131102	149780
34	91040
35	65131
35	119143
35	149623
65571	64197
65571	137899
65571	8176
65571	83691
65571	108809
65571	51508
65571	38568
65571	100305
65571	30288
65571	159985
65571	137032
65571	17101
65571	44027
65571	106559
65571	69214
65571	154217
65571	2379
65571	64638
65571	11113
65571	18080
65571	104558
65571	123494
65571	148125
65571	39355
65571	17555
65571	29080
65571	103606
32803	161886
32803	166853
32803	36903
32803	58291
32803	134941
32803	136889
32803	67777
32803	136305
32803	160819
163880	1934
163880	167533
163881	39794
163881	152394
163881	19421
163881	39190
163881	103961
163881	86748
163881	158936
163881	151232
163881	107753
163881	17688
163881	95607
163881	28731
163881	70198
163881	159371
163881	89636
163881	30171
65578	146110
65578	67762
163875	59321
163875	55332
163875	2900
32813	83691
32813	103961
65582	50019
65587	108809
65587	100305
163895	2394
163895	127425
65592	29704
65592	9919
131130	79466
131130	150131
131130	166730
131130	535
131130	88665
131130	45619
131130	131134
131130	147675
163899	75077
131134	108809
131134	30601
131134	160787
131134	43524
62	10097
62	150964
62	64762
62	63843
62	162664
131137	45732
131137	45503
65604	8176
131141	126659
131141	121657
131141	88765
65607	93329
65611	151080
65611	149547
65611	72528
65611	110565
65611	158013
32843	22932
131151	84419
131151	83691
131151	73450
131151	144408
131151	128949
131151	163775
131151	7095
131151	126295
131151	128486
131151	69978
131151	43293
131151	8057
80	89299
131154	37597
131154	142356
131154	39223
131154	6584
131154	36259
131154	43993
131154	22099
131154	156075
131154	77594
131154	64177
131154	10669
131154	125524
131154	46985
131154	116022
131154	58543
131154	24866
131154	97099
131154	22132
131154	77987
131154	51895
131154	134230
131154	155122
131154	151277
131154	109742
131154	52798
131154	119726
131154	25337
131154	133572
98387	16379
98387	152795
163926	103721
65624	40995
65624	109122
65624	50639
65624	36183
65624	155324
65624	50393
163929	128864
163929	96718
163929	152394
163929	42651
163929	57698
163933	99631
163933	123843
65629	99549
65629	61161
65629	111349
65629	127162
65629	56115
65629	142549
65629	63919
65629	25650
65629	13416
95	46844
95	45732
95	147366
95	102160
95	12403
95	43884
95	103157
95	92515
65632	119626
65632	31298
65632	105826
97	9592
97	162374
97	153004
97	160964
97	115545
97	125445
97	121486
97	39223
97	154551
97	113530
97	155169
97	160990
97	48657
97	158415
97	114717
97	49210
97	36494
97	90309
97	127082
97	2547
97	21033
97	125428
97	70549
97	95073
97	69099
97	158117
163936	155708
163936	26544
163936	92854
98403	16379
98403	39794
98403	161886
98403	160440
98403	25732
98403	95663
98403	26980
98403	64371
98403	117557
98403	89618
98403	82861
98403	141329
98403	160407
98403	32983
98403	137814
98403	136332
98403	157798
98403	86637
98403	162300
131171	16379
131171	89821
131171	132557
131171	115200
131171	10097
131171	105949
131171	142703
131171	21213
131171	156075
131171	82411
131171	66336
131171	105091
131171	61669
131171	1141
131171	137373
131171	132098
131171	147548
131171	72940
131171	124932
131171	21893
131171	155154
131171	51245
131171	96891
131171	45145
131171	137793
131171	167141
131171	120103
131171	36091
65637	58703
65637	9370
65637	164531
65637	37340
65637	162858
65637	2497
65637	20303
65637	49420
65637	79546
65637	6632
65637	86109
65637	38379
65637	4072
65637	6927
65637	141672
65637	68573
65637	2773
65637	166326
65637	158227
65637	27759
65637	30288
65637	128994
65637	104546
65637	40701
65637	166731
65637	34639
65637	18199
65637	16094
65637	152692
65637	24541
65637	83361
98407	4702
131187	29329
32885	152394
32885	128864
32885	114321
32885	54868
32885	117858
65653	51508
65653	132759
32887	15129
131191	161962
131191	7840
163963	142792
163963	42294
98427	137899
98427	83691
65664	108809
65664	84793
65664	7822
32898	52148
32898	139764
32899	137899
32899	69838
32899	132557
32899	58498
32899	166080
32899	117857
32899	136821
32899	65338
32899	29429
32899	132759
32899	68773
32899	45041
65668	108809
65668	8176
65668	122129
65668	49654
65668	141591
65669	80948
65669	103593
65669	31123
65669	73960
65669	65846
163972	4039
134	25821
134	19622
